Ticker,Average_ROI,Volatility
V,0.004980748862948202,1.9464203906864976
AAP,-0.15253547373864548,2.339636518571909
WMT,0.012508151412748964,1.6796184997032788
AAPL,-0.09696053517410362,2.2441800069516473
JNJ,0.029091518156972074,1.0943666583899068
CRM,-0.2148482573326692,2.968760980299659
MCD,0.009749627309561784,1.2441079995804247
XOM,0.274962250543028,2.205869107567684
PYPL,-0.3172540452478089,3.6935658015221775
GOOG,-0.1648902457657371,2.437418915325237
ABT,-0.07818276856135449,1.676607568063665
GS,-0.01536371262828688,1.860319944283988
KO,0.04788022299721115,1.2374011897127952
NVDA,-0.1990950369382471,3.97439451736861
MA,0.009957011111155364,2.038082569798281
CAT,0.09020411990239041,2.1106872203557514
NFLX,-0.17862986202470135,4.404757876760493
SBUX,-0.03104531287888458,2.2551041910005574
GOOGL,-0.1678077262286851,2.4299031539009537
JPM,-0.03623281390717129,1.8780385103968429
MO,0.029579117708764965,1.5652258033744673
T,0.039884895583665356,1.7253840741361632
HD,-0.07933944909641426,1.9693013465927478
PG,-0.0110583140179283,1.3801954508572623
PFE,-0.02943622617410349,1.6949292818303634
UNH,0.03844400487609564,1.532262165496713
VZ,-0.07876665941992031,1.4226506922166895
CSCO,-0.08402328220478096,1.8410921267527776
IBM,0.051500941447808764,1.5001781439637571
TSLA,-0.32930592009123516,4.19180734687445
CVX,0.20499872615458195,2.0696529575569222
CMCSA,-0.11684327989960157,1.8727593623713126
AMZN,-0.22317375231354583,3.148284602707705
DIS,-0.202624951060956,2.3302123169832387
INTC,-0.22095170923266927,2.408745559859156
COST,-0.0644209551454183,1.9721462046974205
MSFT,-0.106292534483267,2.220094492511822
MRK,0.16795288100916336,1.252991582483828
